,Book,Author,Rating
0,Romeo and Juliet (Folger Shakespeare Library),"Shakespeare,William,Mowat,Dr.BarbaraA.,WerstinePh.D.,Paul",3.72
1,Hamlet (Penguin Shakespeare),WilliamShakespeare,3.98
2,Macbeth (Penguin Shakespeare),WilliamShakespeare,3.86
3,Drawing on the Right Side of the Brain - How to Unlock Your Hidden Artistic Talent - New Revised Edition,"Edwards,Betty",3.82
4,Ways of seeing,"JohnBerger,EtAl",3.74
5,The story of art,"Gombrich,ErnstH.",3.82
6,Julius Caesar,WilliamShakespeareNormanSanders,3.62
7,Twelfth Night (Penguin Shakespeare),WilliamShakespeareMichaelDobson,3.95
8,As a Man Thinketh,JamesAllen,4.29
9,Y: The Last Man Vol. 3: One Small Step,"BrianK.Vaughan,PiaGuerra,(Illustrator),JoséMarzánJr.,(Illustrator),PaulChadwick,(Illustrator)",4.22
10,Richard III (English),MichaelTaylorE.A.J.HonigmannWilliamShakespeare,3.9
11,The notebooks of Leonardo da Vinci,"Vinci,Leonardoda,MacCurdy,Edward,MacCurdy,Edward",3.97
12,Canterville ghost: a magical musical comedy,"OscarWilde,PeterQuilter,CharlesMiller",3.9
13,Heavier Than Heaven - Biography Of Kurt Cobain,"Cross,CharlesAlbert",4.09
14,"The Lord of the Rings: weapons and warfare: an illustrated guide to the battles, armies and armour of Middle-Earth","Smith,Chris",4.53
15,The diary of Frida Kahlo: an intimate self-portrait,"Kahlo,Frida",3.85
16,History of art: a survey of the major visual arts from the dawn of history to the present day,"Janson,H.W.,Janson,AnthonyF.",3.8
17,"History of Art, Revised (Trade Version) (5th Edition) (English)","H.W.Janson,AnthonyF.Janson",3.8
18,History of art,H.W.Janson,3.8
19,History of Art: Combined,H.W.Janson,3.8
20,"Lives Of The Most Eminent Painters, Sculptors & Architects",GiorgioVasari,3.78
21,"Le Vite de' Piu Eccellenti Pittori, Scultori, E Architettori, Scritte Da M. G. Vasari, (Histoire)","GiorgioVasari,VasariG",3.78
22,Chaĭka =The seagull,"Chekhov,AntonPavlovich",3.91
23,The vagina monologues,"Ensler,Eve",3.85
24,Gustav Klimt: 1862-1918,GillesNeret,4.11
25,Historia de la fealdad / History of Ugliness,"Eco,Umberto",3.88
26,The Last Picture Show,"McMurtry,Larry",3.95
27,Historia de la fealdad / The history of ugliness (Spanish Edition),"Eco,Umberto",3.87
28,All's Well That Ends Well,"WilliamShakespeare,PaulWerstine",3.64
29,The Rest Is Noise: Listening to the Twentieth Century,"Ross,Alex",4.08
30,Johnny Mnemonic: The Screenplay and the Story,"Gibson,WilliamCarleton",3.75
31,"The Sound of Music: The Touching, Romantic Story of the Trapp Family Singers (English)",MariaAugustavonTrapp,3.93
32,"Wonderful Tonight: George Harrison, Eric Clapton, and Me (English)","PattieBoyd,PennyJunor",3.64
33,The Andy Cohen Diaries: A Deep Look at a Shallow Year,AndyCohen,3.43
34,Drawing the head and figure,JackHamm,3.97
35,Love's Labour's Lost,WilliamShakespeareJohnKerrigan,3.54
36,"The ""Lord of the Rings"" Official Movie Guide","Sibley,Brian",4.38
37,It,AlexaChung,3.48
38,"Love, Lucy","Ball,Lucille",4.17
39,The writer's journey: mythic structure for storytellers and screenwriters,ChristopherVogler,4.11
40,"England's dreaming: anarchy, Sex Pistols, punk rock, and beyond","Savage,Jon",4.09
41,Elvis and Me,PriscillaBeaulieuPresleySandraHarmon,3.77
42,Shakespeare in Love: A Screenplay,"MarcNorman,TomStoppard",3.99
43,Top Girls,"CarylChurchill,BillNaismith,(Editor)",3.55
44,The world of Edward Gorey,"CliffordRoss,KarenWilkin,EdwardGorey,(Illustrator)",4.35
45,Diderot: La Religieuse (BCP French Texts),"DenisDiderot,HeatherLloyd,(Editor,Introduction,notes)",3.68
46,Lauren Bacall: By Myself,"Bacall,Lauren",3.98
47,Good Will Hunting: a screenplay,"BenAffleck,MattDamon,GusVanSant,(Introduction)",4.43
48,Artemisia: the story of a battle for greatness,"Lapierre,Alexandra,Heron,Liz",3.9
49,Top Girls (Acting Edition),"Churchill,Caryl",3.54
