,Price,Details,Location
0,"Rs. 19,999",I phone 7 128gb Box pack,"Janakpuri, Delhi"
1,Rs. 500,MOBILE Touch n Glass Replacement,"Ashoka Garden Nagar Nigam Colony, Bhopal"
2,"Rs. 65,000",Sell Gold at Market Rate,"Jagadamba Junction, Visakhapatnam"
3,"Rs. 42,000",HP zbook 15 Mobile workstations --i7 4rth gn /2gb graphic,"Gokalpuri, Delhi"
4,"Rs. 9,500",Realme 5i 1 month old,"Bokhara, Bijnor"
5,"Rs. 4,500",Samsung Galaxy J2,"Narhe, Pune"
6,"Rs. 21,500",VIVO V19 JUST 2 DAYS OLD,"Madhapur, Hyderabad"
7,"Rs. 4,000",Redmi Note 3,"Khor Part, Ateli"
8,"Rs. 3,000",Realme C2 Handset,"Lanka Colony, Patna"
9,"Rs. 8,050",Vivo v19.                 8GB RAM.            128,"Patel Nagar, Mohammadi"
10,"Rs. 14,500",Vivo Y15 (*5 month old*),"Baichanalli, Kushalanagara"
11,"Rs. 19,000",Samsung M31S brand new,"Carmel Nagar, Vijayawada"
12,"Rs. 12,000","Iphone 6 16gb , Silver Colour with charger only.","Industrial Area Dinanagar, Dinanagar"
13,"Rs. 12,500",Red mi note 8,"Kota Veedhi, Salur"
14,"Rs. 1,500",One plus 7T Original Dash Charger Unused,"Almas Guda, Hyderabad"
15,"Rs. 7,500",Myself good condition,"Gadgi Nagar, Solapur"
16,"Rs. 43,000",Samsung Note 9 || New Condition || Gold Finish || Limited Edition ||,"Ramdaspeth, Nagpur"
17,"Rs. 16,500",Vivo S1 Pro 8gb. 128 gb. 1.5 month brand new condition,"Vrindavan, Mathura"
18,"Rs. 3,000",AIRPODS WATCHES,"Lal Chowk, Srinagar"
19,"Rs. 2,000",Mi band 4 fully new plus mi band 2 both not used I got in gift,"Nariman Point, Mumbai"
